code_du_departement,nom_departement,code_du_canton,libelle_du_canton,annee,inscrits,abstentions,pourcentage_abstention_inscrit,votants,pourcentage_votant_inscrit,blancs_et_nuls,pourcentage_blanc_nuls_inscrit,pourcentage_blanc_nuls_votant,exprimes,pourcentage_exprimes_inscrits,pourcentage_exprimes_votants,sexe,nom,prenom,voix,pourcentage_voix_inscrits,pourcentage_voix_exprimes,sexe_2,nom_2,prenom_2,voix_2,pourcentage_voix_inscrits_2,pourcentage_voix_exprimes_2
1,AIN,1,AMBERIEU-EN-BUGEY,2002,12839,2750,21.42,10089,78.58,660,5.14,6.54,9429,73.44,93.46,M,CHIRAC,JACQUES,7197,56.06,76.33,M,LE PEN,JEAN-MARIE,2232,17.38,23.67
1,AIN,2,BAGE-LE-CHATEL,2002,9606,1670,17.38,7936,82.62,481,05.01,06.06,7455,77.61,93.94,M,CHIRAC,JACQUES,6137,63.89,82.32,M,LE PEN,JEAN-MARIE,1318,13.72,17.68
1,AIN,3,BELLEGARDE-SUR-VALSERINE,2002,9799,2289,23.36,7510,76.64,404,4.12,5.38,7106,72.52,94.62,M,CHIRAC,JACQUES,5660,57.76,79.65,M,LE PEN,JEAN-MARIE,1446,14.76,20.35
1,AIN,4,BELLEY,2002,10690,1826,17.08,8864,82.92,522,4.88,5.89,8342,78.04,94.11,M,CHIRAC,JACQUES,6687,62.55,80.16,M,LE PEN,JEAN-MARIE,1655,15.48,19.84
1,AIN,5,BOURG-EN-BRESSE-EST,2002,8446,1974,23.37,6472,76.63,296,3.5,4.57,6176,73.12,95.43,M,CHIRAC,JACQUES,5221,61.82,84.54,M,LE PEN,JEAN-MARIE,955,11.31,15.46
1,AIN,6,BRENOD,2002,2551,411,16.11,2140,83.89,120,4.7,5.61,2020,79.18,94.39,M,CHIRAC,JACQUES,1583,62.05,78.37,M,LE PEN,JEAN-MARIE,437,17.13,21.63
1,AIN,7,CEYZERIAT,2002,6017,987,16.4,5030,83.6,281,4.67,5.59,4749,78.93,94.41,M,CHIRAC,JACQUES,3796,63.09,79.93,M,LE PEN,JEAN-MARIE,953,15.84,20.07
1,AIN,8,CHALAMONT,2002,3828,682,17.82,3146,82.18,208,5.43,6.61,2938,76.75,93.39,M,CHIRAC,JACQUES,2170,56.69,73.86,M,LE PEN,JEAN-MARIE,768,20.06,26.14
1,AIN,9,CHAMPAGNE-EN-VALROMEY,2002,3596,730,20.3,2866,79.7,190,5.28,6.63,2676,74.42,93.37,M,CHIRAC,JACQUES,2093,58.2,78.21,M,LE PEN,JEAN-MARIE,583,16.21,21.79
1,AIN,10,CHATILLON-SUR-CHALARONNE,2002,10992,2074,18.87,8918,81.13,417,3.79,4.68,8501,77.34,95.32,M,CHIRAC,JACQUES,6690,60.86,78.7,M,LE PEN,JEAN-MARIE,1811,16.48,21.3
1,AIN,11,COLIGNY,2002,4662,818,17.55,3844,82.45,238,5.11,6.19,3606,77.35,93.81,M,CHIRAC,JACQUES,2843,60.98,78.84,M,LE PEN,JEAN-MARIE,763,16.37,21.16
1,AIN,12,COLLONGES,2002,5359,1032,19.26,4327,80.74,208,3.88,4.81,4119,76.86,95.19,M,CHIRAC,JACQUES,3354,62.59,81.43,M,LE PEN,JEAN-MARIE,765,14.28,18.57
1,AIN,13,FERNEY-VOLTAIRE,2002,14032,2802,19.97,11230,80.03,417,2.97,3.71,10813,77.06,96.29,M,CHIRAC,JACQUES,9342,66.58,86.4,M,LE PEN,JEAN-MARIE,1471,10.48,13.6
1,AIN,14,GEX,2002,13404,2813,20.99,10591,79.01,434,3.24,4.1,10157,75.78,95.9,M,CHIRAC,JACQUES,8454,63.07,83.23,M,LE PEN,JEAN-MARIE,1703,12.71,16.77
