code_du_departement,nom_departement,code_du_canton,libelle_du_canton,annee,inscrits,abstentions,pourcentage_abstention_inscrit,votants,pourcentage_votant_inscrit,blancs-et-nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,sexe,nom,prenom,voix,pourcentage_voix_inscrits,pourcentage_voix_exprimes,sexe,nom,prenom,voix,pourcentage_voix_inscrits,pourcentage_voix_exprimes
1,AIN,1,AMBERIEU-EN-BUGEY,2012,14831,2794,18.84,12037,81.16,894,6.03,7.43,11143,75.13,92.57,M,HOLLANDE,François,5411,36.48,48.56,M,SARKOZY,Nicolas,5732,38.65,51.44
1,AIN,2,BÂGÉ-LE-CHÂTEL,2012,11211,1602,14.29,9609,85.71,629,5.61,6.55,8980,80.1,93.45,M,HOLLANDE,François,3631,32.39,40.43,M,SARKOZY,Nicolas,5349,47.71,59.57
1,AIN,3,BELLEGARDE-SUR-VALSERINE,2012,10972,2247,20.48,8725,79.52,559,5.09,6.41,8166,74.43,93.59,M,HOLLANDE,François,4234,38.59,51.85,M,SARKOZY,Nicolas,3932,35.84,48.15
1,AIN,4,BELLEY,2012,12773,2026,15.86,10747,84.14,723,5.66,6.73,10024,78.48,93.27,M,HOLLANDE,François,4814,37.69,48.02,M,SARKOZY,Nicolas,5210,40.79,51.98
1,AIN,5,BOURG-EN-BRESSE-EST,2012,8730,2104,24.1,6626,75.9,310,3.55,4.68,6316,72.35,95.32,M,HOLLANDE,François,3440,39.4,54.46,M,SARKOZY,Nicolas,2876,32.94,45.54
1,AIN,6,BRENOD,2012,2855,449,15.73,2406,84.27,178,6.23,7.4,2228,78.04,92.6,M,HOLLANDE,François,903,31.63,40.53,M,SARKOZY,Nicolas,1325,46.41,59.47
1,AIN,7,CEYZERIAT,2012,6855,996,14.53,5859,85.47,386,5.63,6.59,5473,79.84,93.41,M,HOLLANDE,François,2534,36.97,46.3,M,SARKOZY,Nicolas,2939,42.87,53.7
1,AIN,8,CHALAMONT,2012,4756,709,14.91,4047,85.09,247,5.19,6.1,3800,79.9,93.9,M,HOLLANDE,François,1400,29.44,36.84,M,SARKOZY,Nicolas,2400,50.46,63.16
1,AIN,9,CHAMPAGNE-EN-VALROMEY,2012,3846,625,16.25,3221,83.75,225,5.85,6.99,2996,77.9,93.01,M,HOLLANDE,François,1419,36.9,47.36,M,SARKOZY,Nicolas,1577,41,52.64
1,AIN,10,CHÂTILLON-SUR-CHALARONNE,2012,12912,2114,16.37,10798,83.63,629,4.87,5.83,10169,78.76,94.17,M,HOLLANDE,François,3739,28.96,36.77,M,SARKOZY,Nicolas,6430,49.8,63.23
1,AIN,11,COLIGNY,2012,5120,766,14.96,4354,85.04,314,6.13,7.21,4040,78.91,92.79,M,HOLLANDE,François,1733,33.85,42.9,M,SARKOZY,Nicolas,2307,45.06,57.1
1,AIN,12,COLLONGES,2012,6484,1240,19.12,5244,80.88,315,4.86,6.01,4929,76.02,93.99,M,HOLLANDE,François,2007,30.95,40.72,M,SARKOZY,Nicolas,2922,45.06,59.28
1,AIN,13,FERNEY-VOLTAIRE,2012,17732,3346,18.87,14386,81.13,627,3.54,4.36,13759,77.59,95.64,M,HOLLANDE,François,5953,33.57,43.27,M,SARKOZY,Nicolas,7806,44.02,56.73
1,AIN,14,GEX,2012,17660,3353,18.99,14307,81.01,703,3.98,4.91,13604,77.03,95.09,M,HOLLANDE,François,4779,27.06,35.13,M,SARKOZY,Nicolas,8825,49.97,64.87
1,AIN,15,HAUTEVILLE-LOMPNES,2012,3618,712,19.68,2906,80.32,224,6.19,7.71,2682,74.13,92.29,M,HOLLANDE,François,1242,34.33,46.31,M,SARKOZY,Nicolas,1440,39.8,53.69
1,AIN,16,IZERNORE,2012,4049,641,15.83,3408,84.17,204,5.04,5.99,3204,79.13,94.01,M,HOLLANDE,François,1207,29.81,37.67,M,SARKOZY,Nicolas,1997,49.32,62.33
1,AIN,17,LAGNIEU,2012,14202,2450,17.25,11752,82.75,800,5.63,6.81,10952,77.12,93.19,M,HOLLANDE,François,4882,34.38,44.58,M,SARKOZY,Nicolas,6070,42.74,55.42
1,AIN,18,LHUIS,2012,4229,679,16.06,3550,83.94,270,6.38,7.61,3280,77.56,92.39,M,HOLLANDE,François,1419,33.55,43.26,M,SARKOZY,Nicolas,1861,44.01,56.74
1,AIN,19,MEXIMIEUX,2012,14799,2418,16.34,12381,83.66,724,4.89,5.85,11657,78.77,94.15,M,HOLLANDE,François,4563,30.83,39.14,M,SARKOZY,Nicolas,7094,47.94,60.86
1,AIN,20,MONTLUEL,2012,14622,2276,15.57,12346,84.43,699,4.78,5.66,11647,79.65,94.34,M,HOLLANDE,François,4862,33.25,41.74,M,SARKOZY,Nicolas,6785,46.4,58.26
1,AIN,21,MONTREVEL-EN-BRESSE,2012,11824,1772,14.99,10052,85.01,735,6.22,7.31,9317,78.8,92.69,M,HOLLANDE,François,3614,30.56,38.79,M,SARKOZY,Nicolas,5703,48.23,61.21
1,AIN,22,NANTUA,2012,7812,1380,17.67,6432,82.33,383,4.9,5.95,6049,77.43,94.05,M,HOLLANDE,François,2504,32.05,41.4,M,SARKOZY,Nicolas,3545,45.38,58.6
1,AIN,23,OYONNAX-NORD,2012,10066,2092,20.78,7974,79.22,453,4.5,5.68,7521,74.72,94.32,M,HOLLANDE,François,3358,33.36,44.65,M,SARKOZY,Nicolas,4163,41.36,55.35
1,AIN,24,PONCIN,2012,5039,835,16.57,4204,83.43,282,5.6,6.71,3922,77.83,93.29,M,HOLLANDE,François,1722,34.17,43.91,M,SARKOZY,Nicolas,2200,43.66,56.09
1,AIN,25,PONT-D'AIN,2012,9590,1348,14.06,8242,85.94,561,5.85,6.81,7681,80.09,93.19,M,HOLLANDE,François,3266,34.06,42.52,M,SARKOZY,Nicolas,4415,46.04,57.48
1,AIN,26,PONT-DE-VAUX,2012,6934,1230,17.74,5704,82.26,459,6.62,8.05,5245,75.64,91.95,M,HOLLANDE,François,2278,32.85,43.43,M,SARKOZY,Nicolas,2967,42.79,56.57
1,AIN,27,PONT-DE-VEYLE,2012,9261,1405,15.17,7856,84.83,547,5.91,6.96,7309,78.92,93.04,M,HOLLANDE,François,2969,32.06,40.62,M,SARKOZY,Nicolas,4340,46.86,59.38
1,AIN,28,SAINT-RAMBERT-EN-BUGEY,2012,3714,716,19.28,2998,80.72,204,5.49,6.8,2794,75.23,93.2,M,HOLLANDE,François,1359,36.59,48.64,M,SARKOZY,Nicolas,1435,38.64,51.36
1,AIN,29,SAINT-TRIVIER-DE-COURTES,2012,4472,785,17.55,3687,82.45,234,5.23,6.35,3453,77.21,93.65,M,HOLLANDE,François,1422,31.8,41.18,M,SARKOZY,Nicolas,2031,45.42,58.82
1,AIN,30,SAINT-TRIVIER-SUR-MOIGNANS,2012,10488,1665,15.88,8823,84.12,505,4.82,5.72,8318,79.31,94.28,M,HOLLANDE,François,2763,26.34,33.22,M,SARKOZY,Nicolas,5555,52.97,66.78
1,AIN,31,SEYSSEL,2012,4237,778,18.36,3459,81.64,218,5.15,6.3,3241,76.49,93.7,M,HOLLANDE,François,1657,39.11,51.13,M,SARKOZY,Nicolas,1584,37.38,48.87
1,AIN,32,THOISSEY,2012,10727,1916,17.86,8811,82.14,555,5.17,6.3,8256,76.96,93.7,M,HOLLANDE,François,2802,26.12,33.94,M,SARKOZY,Nicolas,5454,50.84,66.06
1,AIN,33,TREFFORT-CUISIAT,2012,6079,895,14.72,5184,85.28,315,5.18,6.08,4869,80.1,93.92,M,HOLLANDE,François,2226,36.62,45.72,M,SARKOZY,Nicolas,2643,43.48,54.28
1,AIN,34,TRÉVOUX,2012,12401,1929,15.56,10472,84.44,525,4.23,5.01,9947,80.21,94.99,M,HOLLANDE,François,4244,34.22,42.67,M,SARKOZY,Nicolas,5703,45.99,57.33
1,AIN,35,VILLARS-LES-DOMBES,2012,7041,1083,15.38,5958,84.62,343,4.87,5.76,5615,79.75,94.24,M,HOLLANDE,François,2128,30.22,37.9,M,SARKOZY,Nicolas,3487,49.52,62.1
1,AIN,36,VIRIEU-LE-GRAND,2012,3311,488,14.74,2823,85.26,197,5.95,6.98,2626,79.31,93.02,M,HOLLANDE,François,1380,41.68,52.55,M,SARKOZY,Nicolas,1246,37.63,47.45
1,AIN,37,BOURG-EN-BRESSE-NORD-CENTRE,2012,6809,1595,23.42,5214,76.58,239,3.51,4.58,4975,73.07,95.42,M,HOLLANDE,François,2626,38.57,52.78,M,SARKOZY,Nicolas,2349,34.5,47.22
